ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Restock_Frequency_Index,Shipment_Frequency_Index
70,B,Ship,3,1,206,3,medium,M,39,5000,1,0.07692307692307679,0.5
71,C,Ship,5,2,187,4,high,M,14,5209,1,0.6428571428571426,0.3333333333333333
72,F,Ship,5,1,230,2,low,F,2,2414,1,1.5,0.3333333333333333
73,D,Ship,5,1,232,3,medium,F,33,2998,1,0.1818181818181818,0.3333333333333333
74,F,Ship,4,1,215,3,medium,F,21,3984,1,0.1428571428571428,0.4
75,A,Ship,6,2,238,6,low,F,13,1113,1,0.11538461538461535,0.2857142857142857
76,B,Ship,4,1,266,3,low,F,23,3775,1,0.06521739130434781,0.4
77,C,Ship,2,2,158,2,medium,F,36,4196,1,0.0333333333333333,0.6666666666666666
78,F,Ship,3,2,113,3,low,F,43,1518,1,0.01395348837209298,0.5
79,D,Ship,3,2,223,3,low,M,18,3413,1,0.1666666666666665,0.5
80,F,Ship,3,1,257,2,medium,F,56,3711,1,0.1071428571428571,0.5
81,A,Ship,3,1,180,2,medium,F,49,1942,1,0.1224489795918366,0.5
82,B,Ship,2,1,132,3,low,M,18,1759,1,0.0333333333333333,0.6666666666666666
83,C,Ship,4,2,217,3,high,F,26,2875,1,0.17307692307692293,0.4
84,F,Ship,5,1,162,3,high,F,31,1364,1,0.058064516129032254,0.3333333333333333
85,D,Ship,4,1,197,2,medium,F,40,2710,1,0.15000000000000002,0.4
86,F,Ship,3,2,197,3,medium,M,13,2148,1,0.4615384615384614,0.5
87,A,Ship,4,1,185,2,low,M,44,2910,1,0.03409090909090905,0.4
88,B,Ship,6,2,278,3,medium,F,3,2974,1,2.0,0.2857142857142857
89,C,Ship,3,2,229,3,low,M,49,2339,1,0.03061224489795915,0.5
90,F,Ship,4,1,186,4,medium,F,57,3880,1,0.1052631578947368,0.4
91,D,Ship,5,1,174,6,high,F,41,1085,1,0.1097560975609755,0.3333333333333333
92,F,Ship,5,1,286,3,low,F,18,5111,1,0.08333333333333325,0.3333333333333333
93,A,Ship,4,1,175,2,medium,F,7,1188,1,0.42857142857142855,0.4
94,B,Ship,3,1,219,3,medium,F,17,3387,1,0.3529411764705882,0.5
95,C,Ship,4,2,213,4,high,F,35,5892,1,0.2571428571428571,0.4
96,F,Ship,2,2,235,3,low,M,57,1455,1,0.0263157894736842,0.6666666666666666
97,D,Ship,3,2,149,2,medium,M,18,1225,1,0.16666666666666666,0.5
98,F,Ship,4,1,271,2,medium,F,8,2069,1,0.375,0.4
99,A,Ship,3,1,144,4,medium,M,5,1992,1,0.24000000000000005,0.5
100,B,Ship,4,1,145,2,medium,M,21,4346,1,0.1428571428571428,0.4
101,C,Ship,5,1,143,2,medium,M,59,5977,1,0.05084745762711855,0.3333333333333333
102,F,Ship,5,2,227,4,low,M,53,2624,1,0.0283018867924527,0.3333333333333333
103,D,Ship,2,1,213,3,low,M,29,2732,1,0.1034482758620688,0.6666666666666666
104,F,Ship,5,1,144,4,low,M,37,3723,1,0.0405405405405405,0.3333333333333333
105,A,Ship,3,2,218,3,low,M,3,2255,1,1.0,0.5
106,B,Ship,4,1,144,3,medium,M,59,1588,1,0.05084745762711855,0.4
107,C,Ship,3,1,238,3,low,M,17,2624,1,0.08823529411764705,0.5
108,F,Ship,4,1,216,3,high,M,26,2053,1,0.34615384615384587,0.4
109,D,Ship,4,1,238,3,high,F,55,1711,1,0.1636363636363635,0.4
110,F,Ship,4,1,141,3,medium,M,47,1250,1,0.06382978723404255,0.4
111,A,Road,3,1,158,2,low,M,2,1284,1,0.75,0.75
112,B,Road,4,2,239,3,low,F,65,3679,1,0.02307692307692295,0.6
113,C,Road,4,1,175,2,low,M,25,1816,1,0.06,0.6
114,F,Road,3,3,263,3,low,M,41,2817,1,0.073170731707317,0.75
115,D,Road,3,2,168,2,high,M,50,1616,1,0.09,0.75
116,F,Road,3,2,176,3,high,M,36,3021,1,0.12499999999999994,0.75
117,A,Road,4,2,150,4,high,M,60,1024,1,0.07500000000000001,0.6
118,B,Road,4,2,265,2,medium,F,31,2326,1,0.19354838709677397,0.6
119,C,Road,2,2,263,3,low,F,5,2947,1,0.6000000000000001,1.0
120,F,Road,5,2,145,3,low,M,20,1387,1,0.07500000000000001,0.5
121,D,Road,4,2,183,3,low,F,33,2741,1,0.0909090909090909,0.6
122,F,Road,3,2,205,3,medium,F,19,2167,1,0.1578947368421052,0.75
123,A,Road,4,2,160,3,low,M,64,1714,1,0.0234375,0.6
124,B,Road,3,1,252,2,medium,F,48,2102,1,0.1249999999999998,0.75
125,C,Road,5,2,222,3,low,M,10,2280,1,0.30000000000000004,0.5
126,F,Road,3,2,203,2,low,M,25,4084,1,0.06,0.75
127,D,Road,4,1,220,3,medium,M,40,3516,1,0.15000000000000002,0.6
128,F,Road,3,2,147,4,low,F,60,1722,1,0.00999999999999996,0.75
129,A,Road,4,1,200,4,medium,M,16,2060,1,0.1875,0.6
130,B,Road,4,2,224,4,medium,M,21,2026,1,0.1428571428571428,0.6
131,C,Road,3,1,179,2,low,F,17,2532,1,0.08823529411764705,0.75
132,F,Road,3,1,144,3,low,M,50,1865,1,0.03,0.75
133,D,Flight,5,2,247,3,low,M,17,3502,1,0.1764705882352941,0.1666666666666666
134,F,Flight,5,1,280,6,medium,F,51,3582,1,0.058823529411764705,0.1666666666666666
135,A,Flight,3,1,168,2,medium,F,1,1184,1,1.2000000000000002,0.25
136,B,Flight,3,2,157,3,medium,F,4,1889,1,0.30000000000000004,0.25
137,C,Flight,3,2,189,4,medium,F,51,2208,1,0.058823529411764705,0.25
138,F,Flight,3,2,162,2,medium,M,7,1739,1,0.42857142857142855,0.25
139,D,Flight,4,2,207,5,low,M,48,2399,1,0.03124999999999995,0.2
140,F,Flight,5,2,237,2,low,F,10,4030,1,0.15000000000000002,0.1666666666666666
141,A,Flight,4,2,264,3,high,M,59,4693,1,0.1525423728813558,0.2
142,B,Flight,5,1,149,3,low,M,51,1645,1,0.029411764705882353,0.1666666666666666
143,C,Flight,5,1,162,3,low,M,41,1462,1,0.0146341463414634,0.1666666666666666
144,F,Flight,2,1,205,4,medium,F,63,2129,1,0.09523809523809511,0.3333333333333333
145,D,Flight,2,2,158,3,medium,F,51,1540,1,0.058823529411764705,0.3333333333333333
146,F,Flight,2,1,248,2,low,M,46,3707,1,0.032608695652173905,0.3333333333333333
147,A,Flight,3,1,191,3,low,M,23,3750,1,0.13043478260869562,0.25
148,B,Flight,4,1,146,4,medium,F,24,3564,1,0.12499999999999994,0.2
149,C,Flight,3,1,135,3,low,M,56,1490,1,0.0267857142857142,0.25
150,F,Flight,5,2,149,3,low,M,40,4357,1,0.015000000000000003,0.1666666666666666
151,D,Flight,4,2,220,2,medium,F,7,2551,1,0.42857142857142855,0.2
152,F,Flight,5,1,98,5,medium,M,44,1269,1,0.02727272727272724,0.1666666666666666
153,A,Flight,3,1,97,4,low,M,32,2063,1,0.046875,0.25
154,B,Flight,3,1,183,2,low,M,53,3932,1,0.0283018867924527,0.25
155,C,Ship,3,1,162,3,medium,F,8,1477,1,0.15000000000000002,0.5
156,F,Ship,5,3,114,4,low,F,47,4677,1,0.0319148936170212,0.3333333333333333
157,D,Ship,6,1,275,5,low,M,41,2491,1,0.073170731707317,0.2857142857142857
158,F,Ship,3,2,203,2,medium,F,39,3845,1,0.07692307692307679,0.5
159,A,Ship,5,1,205,2,high,M,65,3671,1,0.06923076923076915,0.3333333333333333
160,B,Ship,3,2,149,3,low,F,63,1946,1,0.023809523809523697,0.5
161,C,Ship,2,2,112,4,medium,M,56,1138,1,0.021428571428571422,0.6666666666666666
162,F,Ship,3,2,207,3,medium,F,56,5709,1,0.05357142857142855,0.5
163,D,Ship,4,2,261,4,low,F,58,3427,1,0.0517241379310344,0.4
164,F,Ship,5,2,274,3,medium,M,6,4817,1,1.0,0.3333333333333333
165,A,Ship,3,2,141,2,low,M,52,1692,1,0.01153846153846152,0.5
166,B,Ship,3,1,166,4,medium,F,17,2522,1,0.07058823529411765,0.5
167,C,Ship,5,1,141,3,high,F,34,1020,1,0.1323529411764705,0.3333333333333333
168,F,Ship,4,3,152,3,low,M,43,1709,1,0.03488372093023245,0.4
169,D,Ship,4,1,250,3,low,F,53,2478,1,0.0566037735849054,0.4
170,F,Ship,4,1,161,3,medium,F,28,1809,1,0.1071428571428571,0.4
171,A,Ship,4,2,185,3,medium,F,10,1576,1,0.30000000000000004,0.4
172,B,Ship,4,2,176,4,high,F,52,2912,1,0.03461538461538456,0.4
173,C,Ship,3,2,148,3,low,M,56,1550,1,0.0267857142857142,0.5
174,F,Ship,3,2,270,3,low,F,63,2751,1,0.023809523809523697,0.5
175,D,Ship,3,2,242,3,low,F,51,3935,1,0.029411764705882353,0.5
176,F,Ship,4,1,150,2,medium,M,3,4611,1,0.4,0.4
177,A,Ship,4,1,192,3,high,M,20,3872,1,0.22499999999999998,0.4
178,B,Ship,4,2,116,3,medium,M,54,1314,1,0.0555555555555555,0.4
179,C,Ship,3,1,192,3,medium,F,2,3995,1,1.5,0.5
180,F,Ship,5,1,255,4,medium,M,3,3440,1,2.0,0.3333333333333333
181,D,Ship,4,2,161,7,medium,F,18,1265,1,0.06666666666666667,0.4
182,F,Ship,4,1,157,3,low,M,20,2239,1,0.07500000000000001,0.4
183,A,Ship,3,1,164,10,high,F,28,1940,1,0.16071428571428564,0.5
184,B,Ship,3,2,162,7,medium,F,16,1052,1,0.1875,0.5
185,C,Ship,3,2,146,2,low,M,50,5556,1,0.03,0.5
186,F,Ship,3,1,209,3,medium,M,54,3001,1,0.0555555555555555,0.5
187,D,Ship,5,2,134,2,medium,F,55,1667,1,0.02181818181818178,0.3333333333333333
188,F,Ship,2,1,222,2,medium,M,5,3778,1,0.6000000000000001,0.6666666666666666
189,A,Ship,2,2,139,3,low,F,27,1233,1,0.0555555555555555,0.6666666666666666
190,B,Ship,2,3,134,3,low,F,42,1415,1,0.0357142857142857,0.6666666666666666
191,C,Ship,2,2,130,3,low,M,16,5328,1,0.09375,0.6666666666666666
192,F,Ship,2,2,133,3,low,F,62,1596,1,0.0096774193548387,0.6666666666666666
193,D,Ship,2,1,140,3,low,F,7,1411,1,0.2142857142857142,0.6666666666666666
194,F,Ship,2,3,158,3,low,M,28,1968,1,0.05357142857142855,0.6666666666666666
195,A,Ship,4,1,270,4,low,F,46,1736,1,0.032608695652173905,0.4
196,B,Ship,2,2,140,3,low,F,30,1030,1,0.04999999999999995,0.6666666666666666
197,C,Ship,2,2,135,3,low,M,15,5108,1,0.0999999999999999,0.6666666666666666
198,F,Ship,2,1,136,3,low,F,19,1568,1,0.0789473684210526,0.6666666666666666
199,D,Ship,2,1,142,3,medium,F,38,7640,1,0.0789473684210526,0.6666666666666666
200,F,Ship,2,1,154,3,medium,M,38,7846,1,0.03157894736842104,0.6666666666666666
201,A,Ship,2,2,139,3,low,M,9,1471,1,0.06666666666666667,0.6666666666666666
202,B,Ship,2,2,160,3,low,F,43,5322,1,0.03488372093023245,0.6666666666666666
203,C,Ship,2,1,134,3,low,M,58,1067,1,0.0258620689655172,0.6666666666666666
204,F,Ship,5,1,161,5,high,M,48,1883,1,0.09375,0.3333333333333333
205,D,Ship,2,1,155,3,low,M,23,1602,1,0.06521739130434781,0.6666666666666666
206,F,Ship,2,1,145,3,medium,F,24,7588,1,0.12499999999999994,0.6666666666666666
207,A,Ship,2,2,157,3,low,M,1,1015,1,0.6000000000000001,0.6666666666666666
208,B,Ship,2,2,160,3,low,M,48,1691,1,0.012499999999999982,0.6666666666666666
209,C,Ship,2,2,152,3,low,M,55,4584,1,0.010909090909090861,0.6666666666666666
210,F,Ship,2,1,148,3,high,F,11,1502,1,0.40909090909090906,0.6666666666666666
211,D,Ship,2,2,127,3,low,F,15,1522,1,0.03999999999999996,0.6666666666666666
212,F,Ship,2,2,154,3,low,F,21,1113,1,0.0714285714285714,0.6666666666666666
213,A,Ship,2,1,127,3,low,M,44,4408,1,0.01363636363636362,0.6666666666666666
214,B,Ship,2,1,160,3,medium,F,31,1078,1,0.0387096774193548,0.6666666666666666
215,C,Ship,2,2,129,3,low,F,48,1219,1,0.03124999999999995,0.6666666666666666
216,F,Ship,2,2,158,3,low,F,40,3307,1,0.015000000000000003,0.6666666666666666
217,D,Ship,4,1,185,3,medium,M,3,3131,1,2.0,0.4
218,F,Ship,4,2,176,4,high,F,63,1293,1,0.02857142857142856,0.4
219,A,Ship,3,1,148,3,low,M,37,4241,1,0.0405405405405405,0.5
220,B,Ship,3,2,270,3,low,M,60,5974,1,0.0499999999999998,0.5
221,C,Ship,3,1,242,3,low,M,29,5236,1,0.1034482758620688,0.5
222,F,Ship,4,2,150,2,medium,M,31,1588,1,0.09677419354838698,0.4
223,D,Ship,4,2,192,3,high,M,4,2061,1,1.125,0.4
224,F,Ship,4,1,116,3,medium,F,9,1314,1,0.3333333333333333,0.4
225,A,Ship,3,1,192,3,medium,F,31,3331,1,0.09677419354838698,0.5
226,B,Ship,5,2,255,4,medium,F,38,2771,1,0.0789473684210526,0.3333333333333333
227,C,Ship,4,2,161,7,medium,M,63,1496,1,0.01904761904761902,0.4
228,F,Ship,4,1,157,3,low,F,48,1393,1,0.03124999999999995,0.4
229,D,Ship,3,1,164,10,high,M,14,1375,1,0.3214285714285713,0.5
230,F,Ship,3,2,162,7,medium,F,42,1278,1,0.02857142857142856,0.5
231,A,Ship,3,1,146,2,low,F,54,4743,1,0.0111111111111111,0.5
232,B,Ship,3,2,209,3,medium,F,60,2240,1,0.04999999999999995,0.5
233,C,Ship,5,2,134,2,medium,M,53,3081,1,0.02264150943396222,0.3333333333333333
234,F,Ship,2,1,222,2,medium,M,58,1247,1,0.0517241379310344,0.6666666666666666
235,D,Ship,2,1,139,3,low,F,39,4147,1,0.015384615384615358,0.6666666666666666
236,F,Ship,2,1,134,3,low,M,38,4179,1,0.0394736842105263,0.6666666666666666
237,A,Ship,2,1,130,3,low,F,48,1801,1,0.03124999999999995,0.6666666666666666
238,B,Ship,2,1,133,3,low,M,5,1268,1,0.30000000000000004,0.6666666666666666
239,C,Ship,2,1,140,3,low,F,23,1372,1,0.06521739130434781,0.6666666666666666
240,F,Ship,2,2,158,3,low,M,10,1515,1,0.06000000000000001,0.6666666666666666
241,D,Ship,4,2,270,4,low,M,65,4569,1,0.02307692307692295,0.4
242,F,Ship,2,2,140,3,low,F,33,1278,1,0.01818181818181818,0.6666666666666666
243,A,Ship,2,2,135,3,low,M,58,1734,1,0.01034482758620688,0.6666666666666666
244,B,Ship,2,2,136,3,low,M,43,5917,1,0.03488372093023245,0.6666666666666666
245,C,Ship,2,2,142,3,medium,F,8,6064,1,0.375,0.6666666666666666
246,F,Ship,2,1,154,3,medium,F,48,4629,1,0.0624999999999999,0.6666666666666666
247,D,Ship,2,1,139,3,low,F,3,1788,1,0.5,0.6666666666666666
248,F,Road,2,3,160,3,low,F,50,1646,1,0.03,1.0
249,A,Road,2,1,134,3,low,F,38,1530,1,0.01578947368421052,1.0
250,B,Road,5,2,161,5,high,F,54,1511,1,0.08333333333333325,0.5
251,C,Road,2,1,155,3,low,F,45,1639,1,0.0333333333333333,1.0
252,F,Road,2,3,145,3,medium,F,5,6102,1,0.6000000000000001,1.0
253,D,Road,2,1,157,3,low,M,58,1930,1,0.01034482758620688,1.0
254,F,Road,2,1,160,3,low,F,19,1399,1,0.0789473684210526,1.0
255,A,Road,2,2,152,3,low,F,61,1800,1,0.0245901639344262,1.0
256,B,Road,2,2,148,3,high,F,35,1349,1,0.12857142857142856,1.0
257,C,Road,2,1,127,3,low,M,13,1128,1,0.11538461538461535,1.0
258,F,Road,2,2,129,3,medium,F,22,6614,1,0.13636363636363635,1.0
259,D,Road,2,2,158,3,low,F,13,1245,1,0.11538461538461535,1.0
260,F,Road,2,1,147,3,low,M,5,1028,1,0.30000000000000004,1.0
261,A,Road,2,1,159,3,low,F,49,1621,1,0.01224489795918366,1.0
262,B,Road,2,3,151,3,low,F,23,1930,1,0.026086956521739126,1.0
263,C,Road,3,2,294,4,low,F,52,5992,1,0.0576923076923076,0.75
264,F,Road,3,2,226,2,medium,M,45,1446,1,0.0666666666666666,0.75
265,D,Road,5,1,271,5,high,M,9,1813,1,0.5,0.5
266,F,Road,7,1,203,5,medium,F,61,1856,1,0.0491803278688524,0.375
267,A,Road,2,1,264,4,low,F,10,1648,1,0.15000000000000002,1.0
268,B,Road,4,2,258,3,medium,M,36,1476,1,0.08333333333333325,0.6
269,C,Road,3,1,241,3,low,F,21,3078,1,0.0714285714285714,0.75
270,F,Flight,4,1,208,3,medium,M,23,2056,1,0.13043478260869562,0.2
271,D,Flight,3,2,209,5,medium,F,12,3054,1,0.4999999999999998,0.25
272,F,Flight,5,1,182,2,medium,F,23,2707,1,0.26086956521739124,0.1666666666666666
273,A,Flight,4,2,148,2,medium,F,43,1087,1,0.06976744186046505,0.2
274,B,Flight,2,2,183,2,medium,F,52,3199,1,0.1153846153846152,0.3333333333333333
275,C,Flight,3,2,229,6,medium,M,22,2717,1,0.2727272727272727,0.25
276,F,Flight,5,2,115,5,low,F,26,5062,1,0.0576923076923076,0.1666666666666666
277,D,Flight,4,2,136,3,low,F,65,1962,1,0.02307692307692295,0.2
278,F,Flight,4,2,212,3,low,M,21,3307,1,0.0714285714285714,0.2
279,A,Flight,4,1,171,3,low,F,24,1304,1,0.0624999999999999,0.2
280,B,Flight,3,1,151,2,low,M,60,5582,1,0.00999999999999996,0.25
281,C,Flight,3,1,205,3,medium,M,39,5907,1,0.07692307692307679,0.25
282,F,Flight,5,2,147,3,medium,M,23,1132,1,0.05217391304347825,0.1666666666666666
283,D,Flight,3,2,155,3,low,F,29,1712,1,0.02068965517241376,0.25
284,F,Flight,5,1,165,3,low,F,20,1150,1,0.030000000000000006,0.1666666666666666
285,A,Flight,5,2,230,3,low,F,32,3249,1,0.046875,0.1666666666666666
286,B,Flight,2,1,181,4,medium,M,13,3039,1,0.2307692307692307,0.3333333333333333
287,C,Flight,5,2,234,2,low,F,55,3308,1,0.02727272727272715,0.1666666666666666
288,F,Flight,4,2,149,3,low,M,34,1977,1,0.04411764705882345,0.2
289,D,Flight,5,2,156,2,low,M,44,1561,1,0.01363636363636362,0.1666666666666666
290,F,Flight,4,1,172,3,medium,F,59,1858,1,0.02033898305084742,0.2
291,A,Flight,4,2,270,3,low,M,12,3279,1,0.12499999999999994,0.2
292,B,Ship,4,1,206,3,medium,M,23,3807,1,0.13043478260869562,0.4
293,C,Ship,4,2,211,4,medium,M,40,3106,1,0.15000000000000002,0.4
294,F,Ship,3,1,136,4,low,M,62,1090,1,0.024193548387096746,0.5
295,D,Ship,5,1,186,2,high,F,52,3981,1,0.0865384615384614,0.3333333333333333
296,F,Ship,3,2,202,2,medium,M,62,5288,1,0.04838709677419349,0.5
297,A,Ship,4,2,183,3,medium,F,12,3646,1,0.4999999999999998,0.4
298,B,Ship,4,1,232,2,low,M,36,4305,1,0.041666666666666546,0.4
299,C,Ship,4,2,147,4,medium,M,52,1129,1,0.02307692307692304,0.4
300,F,Ship,4,2,136,3,medium,M,20,4356,1,0.15000000000000002,0.4
301,D,Ship,5,1,127,3,low,F,43,1446,1,0.03488372093023245,0.3333333333333333
302,F,Ship,4,1,202,2,medium,M,35,1053,1,0.08571428571428565,0.4
303,A,Ship,3,2,241,2,low,M,57,3671,1,0.0526315789473684,0.5
304,B,Ship,4,2,222,2,medium,M,55,5524,1,0.05454545454545445,0.4
305,C,Ship,3,2,183,4,medium,F,12,2777,1,0.2499999999999999,0.5
306,F,Ship,4,2,249,3,medium,F,36,1260,1,0.08333333333333325,0.4
307,D,Ship,3,1,243,4,high,M,59,3838,1,0.0762711864406779,0.5
308,F,Ship,3,1,163,3,medium,M,9,1764,1,0.3333333333333333,0.5
309,A,Ship,4,2,165,2,high,M,11,1596,1,0.16363636363636364,0.4
310,B,Ship,5,1,266,3,medium,F,53,3089,1,0.05660377358490555,0.3333333333333333
311,C,Ship,3,1,193,2,medium,M,48,3909,1,0.0624999999999999,0.5
312,F,Ship,3,1,154,3,low,F,56,1136,1,0.0267857142857142,0.5
313,D,Ship,3,2,140,3,medium,M,51,5664,1,0.058823529411764705,0.5
314,F,Ship,4,1,272,3,medium,M,38,3705,1,0.1578947368421052,0.4
315,A,Ship,4,2,143,6,medium,M,20,1654,1,0.06000000000000001,0.4
316,B,Ship,4,2,138,3,low,F,30,3496,1,0.04999999999999995,0.4
317,C,Ship,4,2,238,2,high,M,17,3358,1,0.2647058823529411,0.4
318,F,Ship,4,2,273,4,medium,F,31,2373,1,0.09677419354838698,0.4
319,D,Ship,3,1,200,2,medium,M,27,2551,1,0.111111111111111,0.5
320,F,Ship,4,2,213,4,low,M,39,2381,1,0.038461538461538394,0.4
321,A,Ship,3,3,224,2,medium,F,15,2701,1,0.3999999999999999,0.5
322,B,Ship,4,2,141,3,medium,M,12,1672,1,0.09999999999999996,0.4
323,C,Ship,3,3,150,3,low,M,46,1040,1,0.032608695652173905,0.5
324,F,Ship,3,1,192,2,low,M,33,2818,1,0.04545454545454545,0.5
325,D,Ship,5,2,279,4,medium,F,24,3440,1,0.2499999999999999,0.3333333333333333
326,F,Ship,3,3,246,3,medium,M,30,3748,1,0.1999999999999998,0.5
327,A,Ship,3,1,173,3,medium,M,52,4304,1,0.0576923076923076,0.5
328,B,Ship,4,1,233,4,medium,F,59,2358,1,0.1016949152542371,0.4
329,C,Ship,5,3,274,2,medium,M,24,2423,1,0.12499999999999994,0.3333333333333333
330,F,Ship,4,2,243,4,medium,F,41,2782,1,0.146341463414634,0.4
331,D,Ship,3,2,197,3,medium,F,56,3427,1,0.05357142857142855,0.5
332,F,Ship,4,2,140,3,high,F,46,1072,1,0.0978260869565217,0.4
